@relation 'All_energy_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45'

@attribute onset_b numeric
@attribute dur_b numeric
@attribute string numeric
@attribute pitch numeric
@attribute vel numeric
@attribute onset_s numeric
@attribute dur_s numeric
@attribute measure numeric
@attribute pre_dur_b numeric
@attribute pre_dur_s numeric
@attribute nxt_dur_b numeric
@attribute nxt_dur_s numeric
@attribute pre_ionset_s numeric
@attribute nxt_ionset_s numeric
@attribute onset_b_mod numeric
@attribute pitch_mod numeric
@attribute n_simult numeric
@attribute prev_int numeric
@attribute next_int numeric
@attribute keyFifths numeric
@attribute note2key numeric
@attribute chord {A7,B5,B7,B9,Bb7,C6,C7,D7,E,E7,Eb6,Eb7,F7,G,G6,G7,Am}
@attribute chord_id numeric
@attribute chord_type {5,6,7,9,mayor,m}
@attribute note2chord numeric
@attribute isChordN {n,y}
@attribute mtr {s,ss,w,ww}
@attribute nar1 {P,R,D,ID,IP,VP,IR,VR,SA,SB,NA}
@attribute nar2 {P,R,D,ID,IP,VP,IR,VR,SA,SB,NA}
@attribute nar3 {P,R,D,ID,IP,VP,IR,VR,SA,SB,NA}
@attribute tempo numeric
@attribute phrase {f,i,m}
@attribute energy_rat numeric

@data
0,0.997917,7,43,80,0,0.855357,1,0,0,0.997917,0.855357,0,0,0,7,3,24,11,1,0,G6,7,6,0,y,ss,IR,P,P,70,i,1.235534
0,0.997917,7,54,80,0,0.855357,1,0.997917,0.855357,0.997917,0.855357,0,0,0,6,3,-11,5,1,1,G6,7,6,1,n,ss,P,P,SB,70,m,0.935534
0,0.997917,6,59,80,0,0.855357,1,0.997917,0.855357,0.997917,0.855357,0,0,0,11,3,-5,3,1,4,G6,7,6,4,y,ss,P,SB,VR,70,m,1.085534
0,0.997917,5,62,80,0,0.855357,1,0.997917,0.855357,0.997917,0.855357,0,0.857143,0,2,3,-3,5,1,5,G6,7,6,5,n,ss,SB,VR,SA,70,m,0.973034
1,0.997917,4,67,80,0.857143,0.855357,1,0.997917,0.855357,1.497917,1.283929,-0.857143,0.857143,1,7,0,-5,-21,1,0,G6,7,6,0,y,ww,VR,SA,IR,70,f,0.910534
2,1.497917,3,46,80,1.714286,1.283929,1,0.997917,0.855357,1.497917,1.283929,-0.857143,0,2,10,3,21,9,1,3,G6,7,6,3,n,ww,SA,IR,P,70,i,1.073034
2,1.497917,7,55,80,1.714286,1.283929,1,1.497917,1.283929,1.497917,1.283929,0,0,2,7,3,-9,6,1,0,G6,7,6,0,y,ww,IR,P,SB,70,m,0.910534
2,1.497917,2,61,80,1.714286,1.283929,1,1.497917,1.283929,1.497917,1.283929,0,0,2,1,3,-6,2,1,6,G6,7,6,6,n,ww,P,SB,VR,70,m,1.010534
2,1.497917,4,63,80,1.714286,1.283929,1,1.497917,1.283929,0.497917,0.426786,0,1.285715,2,3,3,-2,1,1,4,G6,7,6,4,y,ww,SB,VR,IR,70,f,0.935534
3.5,0.497917,7,64,80,3.000001,0.426786,1,1.497917,1.283929,0.997917,0.855357,-1.285715,0.428571,3.5,4,0,-1,-19,1,3,Bb7,11,7,7,y,ww,VR,IR,P,70,i,0.985534
4,0.997917,5,45,80,3.428572,0.855357,2,0.497917,0.426786,0.997917,0.855357,-0.428571,0,0,9,3,19,10,1,2,Eb7,4,7,5,n,ss,IR,P,P,70,i,1.060534
4,0.997917,4,55,80,3.428572,0.855357,2,0.997917,0.855357,0.997917,0.855357,0,0,0,7,3,-10,5,1,0,Eb7,4,7,3,n,ss,P,P,SB,70,m,0.910534
4,0.997917,3,60,80,3.428572,0.855357,2,0.997917,0.855357,0.997917,0.855357,0,0,0,0,3,-5,4,1,7,Eb7,4,7,4,y,ss,P,SB,VR,70,m,0.960534
4,0.997917,3,64,80,3.428572,0.855357,2,0.997917,0.855357,0.997917,0.855357,0,0.857143,0,4,3,-4,5,1,3,Eb7,4,7,0,y,ss,SB,VR,SA,70,m,0.948034
5,0.997917,4,69,80,4.285715,0.855357,2,0.997917,0.855357,1.497917,1.283929,-0.857143,0.857143,1,9,0,-5,-22,1,2,A7,9,7,0,y,ww,VR,SA,IR,70,f,0.898034
6,1.497917,7,47,80,5.142858,1.283929,2,0.997917,0.855357,1.497917,1.283929,-0.857143,0,2,11,3,22,10,1,4,A7,9,7,2,n,ww,SA,IR,P,70,i,1.148034
6,1.497917,5,57,80,5.142858,1.283929,2,1.497917,1.283929,1.497917,1.283929,0,0,2,9,3,-10,6,1,2,A7,9,7,0,y,ww,IR,P,SB,70,m,0.923034
6,1.497917,4,63,80,5.142858,1.283929,2,1.497917,1.283929,1.497917,1.283929,0,0,2,3,3,-6,2,1,4,A7,9,7,6,n,ww,P,SB,VR,70,m,0.973034
6,1.497917,3,65,80,5.142858,1.283929,2,1.497917,1.283929,0.497917,0.426786,0,1.285715,2,5,3,-2,1,1,2,A7,9,7,4,y,ww,SB,VR,IR,70,f,0.960534
7.5,0.497917,2,66,80,6.428573,0.426786,2,1.497917,1.283929,0.997917,0.855357,-1.285715,0.428572,3.5,6,0,-1,-14,1,1,B7,11,7,5,n,ww,VR,IR,P,70,i,0.998034
8,0.997917,6,52,80,6.857144,0.855357,3,0.497917,0.426786,0.997917,0.855357,-0.428572,0,0,4,3,14,7,1,3,B7,11,7,7,y,ww,IR,P,P,70,m,0.923034
8,0.997917,3,59,80,6.857144,0.855357,3,0.997917,0.855357,0.997917,0.855357,0,0,0,11,3,-7,3,1,4,B7,11,7,0,y,ww,P,P,IP,70,m,0.923034
