@relation 'Suite_en_la_energy_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45'

@attribute onset_b numeric
@attribute dur_b numeric
@attribute string numeric
@attribute pitch numeric
@attribute vel numeric
@attribute onset_s numeric
@attribute dur_s numeric
@attribute measure numeric
@attribute pre_dur_b numeric
@attribute pre_dur_s numeric
@attribute nxt_dur_b numeric
@attribute nxt_dur_s numeric
@attribute pre_ionset_s numeric
@attribute nxt_ionset_s numeric
@attribute onset_b_mod numeric
@attribute pitch_mod numeric
@attribute n_simult numeric
@attribute prev_int numeric
@attribute next_int numeric
@attribute keyFifths numeric
@attribute note2key numeric
@attribute chord {Am}
@attribute chord_id numeric
@attribute chord_type {m}
@attribute note2chord numeric
@attribute isChordN {n}
@attribute mtr {s,ss,w,ww}
@attribute nar1 {P,R,D,ID,IP,VP,IR,VR,SA,SB,NA}
@attribute nar2 {P,R,D,ID,IP,VP,IR,VR,SA,SB,NA}
@attribute nar3 {P,R,D,ID,IP,VP,IR,VR,SA,SB,NA}
@attribute tempo numeric
@attribute phrase {f,i,m}
@attribute energy_rat numeric

@data
0,0.497917,4,60,80,0,0.248958,1,0,0,0.164583,0.109722,0,0.25,0,0,0,-15,-1,0,0,Am,9,m,9,n,ss,P,P,IP,90,i,0.906353
0.5,0.164583,6,59,80,0.25,0.082292,1,0.497917,0.331944,0.164583,0.109722,-0.25,0.083333,0.5,11,0,1,-2,0,11,Am,9,m,2,n,ww,P,IP,SB,90,m,0.906353
0.666667,0.164583,4,57,80,0.333333,0.082292,1,0.164583,0.109722,0.164583,0.109722,-0.083333,0.083333,0.666667,9,0,2,-1,0,9,Am,9,m,0,n,ww,IP,SB,VR,90,m,0.906353
0.833333,0.164583,5,56,80,0.416667,0.082292,1,0.164583,0.109722,0.33125,0.220833,-0.083333,0.083333,0.833333,8,0,1,1,0,8,Am,9,m,1,n,ww,SB,VR,IR,90,m,0.906353
1,0.33125,5,57,80,0.5,0.165625,1,0.164583,0.109722,2.997917,1.998611,-0.083333,0,1,9,0,-1,-12,0,9,Am,9,m,0,n,ww,VR,IR,P,90,f,0.906353
1,2.997917,4,45,80,0.5,1.498958,1,0.33125,0.220833,0.33125,0.220833,0,0.166667,1,9,5,12,7,0,9,Am,9,m,0,n,ww,IR,P,P,90,i,0.931353
1.333333,0.33125,4,52,80,0.666667,0.165625,1,2.997917,1.998611,0.33125,0.220833,-0.166667,0.166667,1.333333,4,1,-7,2,0,4,Am,9,m,5,n,ww,P,P,P,90,m,1.181353
1.666667,0.33125,3,54,80,0.833333,0.165625,1,0.33125,0.220833,0.33125,0.220833,-0.166667,0.166667,1.666667,6,1,-2,2,0,6,Am,9,m,3,n,ww,P,P,P,90,m,1.243853
2,0.33125,2,56,80,1,0.165625,1,0.33125,0.220833,0.33125,0.220833,-0.166667,0.166667,2,8,1,-2,1,0,8,Am,9,m,1,n,s,P,P,P,90,m,1.118853
2.333333,0.33125,6,57,80,1.166667,0.165625,1,0.33125,0.220833,0.33125,0.220833,-0.166667,0.166667,2.333333,9,1,-1,2,0,9,Am,9,m,0,n,ww,P,P,P,90,m,1.031353
2.666667,0.33125,3,59,80,1.333333,0.165625,1,0.33125,0.220833,0.33125,0.220833,-0.166667,0.166667,2.666667,11,1,-2,1,0,11,Am,9,m,2,n,ww,P,P,IP,90,m,1.031353
3,0.33125,3,60,80,1.5,0.165625,1,0.33125,0.220833,0.33125,0.220833,-0.166667,0.166667,3,0,0,-1,2,0,0,Am,9,m,9,n,ww,P,IP,P,90,m,0.906353
3.333333,0.33125,3,62,80,1.666667,0.165625,1,0.33125,0.220833,0.33125,0.220833,-0.166667,0.166667,3.333333,2,0,-2,2,0,2,Am,9,m,7,n,ww,IP,P,P,90,m,0.906353
3.666667,0.33125,4,64,80,1.833333,0.165625,1,0.33125,0.220833,0.33125,0.220833,-0.166667,0.166667,3.666667,4,0,-2,-2,0,4,Am,9,m,5,n,ww,P,P,P,90,m,0.906353
4,0.33125,7,62,80,2,0.165625,1,0.33125,0.220833,0.33125,0.220833,-0.166667,0.166667,4,2,0,2,-2,0,2,Am,9,m,7,n,ww,P,P,IP,90,m,0.906353
4.333333,0.33125,4,60,80,2.166667,0.165625,2,0.33125,0.220833,0.33125,0.220833,-0.166667,0.166667,0.333333,0,0,2,-1,0,0,Am,9,m,9,n,ww,P,IP,P,90,m,0.906353
4.666667,0.33125,5,59,80,2.333333,0.165625,2,0.33125,0.220833,0.33125,0.220833,-0.166667,0.166667,0.666667,11,0,1,-2,0,11,Am,9,m,2,n,ww,IP,P,P,90,m,0.956353
5,0.33125,4,57,80,2.5,0.165625,2,0.33125,0.220833,0.33125,0.220833,-0.166667,0.166667,1,9,0,2,2,0,9,Am,9,m,0,n,ww,P,P,IP,90,m,0.906353
5.333333,0.33125,5,59,80,2.666667,0.165625,2,0.33125,0.220833,0.33125,0.220833,-0.166667,0.166667,1.333333,11,0,-2,1,0,11,Am,9,m,2,n,ww,P,IP,P,90,m,1.006353
5.666667,0.33125,4,60,80,2.833333,0.165625,2,0.33125,0.220833,0.497917,0.331944,-0.166667,0.166667,1.666667,0,0,-1,2,0,0,Am,9,m,9,n,ww,IP,P,P,90,m,0.981353
6,0.497917,4,62,80,3,0.248958,2,0.33125,0.220833,0.164583,0.109722,-0.166667,0.25,2,2,0,-2,-2,0,2,Am,9,m,7,n,ww,P,P,P,90,m,0.981353
6.5,0.164583,7,60,80,3.25,0.082292,2,0.497917,0.331944,0.164583,0.109722,-0.25,0.083333,2.5,0,0,2,-1,0,0,Am,9,m,9,n,ww,P,P,IP,90,m,0.981353
6.666667,0.164583,4,59,80,3.333333,0.082292,2,0.164583,0.109722,0.164583,0.109722,-0.083333,0.083333,2.666667,11,0,1,-2,0,11,Am,9,m,2,n,ww,P,IP,P,90,m,0.981353
6.833333,0.164583,6,57,80,3.416667,0.082292,2,0.164583,0.109722,0.33125,0.220833,-0.083333,0.083333,2.833333,9,0,2,-4,0,9,Am,9,m,0,n,ww,IP,P,SB,90,m,1.018853
7,0.33125,7,53,80,3.5,0.165625,2,0.164583,0.109722,0.33125,0.220833,-0.083333,0,3,5,0,4,4,0,5,Am,9,m,4,n,ww,P,SB,VR,90,m,1.031353
7,0.33125,2,57,80,3.5,0.165625,2,0.33125,0.220833,0.33125,0.220833,0,0,3,9,0,-4,2,0,9,Am,9,m,0,n,ww,SB,VR,IR,90,m,0.893853
7,0.33125,6,59,80,3.5,0.165625,2,0.33125,0.220833,2.997917,1.998611,0,0,3,11,0,-2,-14,0,11,Am,9,m,2,n,ww,VR,IR,P,90,f,0.893853
7,2.997917,7,45,80,3.5,1.498958,2,0.33125,0.220833,0.33125,0.220833,0,0.166667,3,9,5,14,8,0,9,Am,9,m,0,n,ww,IR,P,P,90,i,0.918853
7.333333,0.33125,2,53,80,3.666667,0.165625,2,2.997917,1.998611,0.33125,0.220833,-0.166667,0.166667,3.333333,5,1,-8,2,0,5,Am,9,m,4,n,ww,P,P,P,90,m,0.981353
